description,courseNumber,departmentCode,courseTitle,avg_gpa,A_rate,B_rate,C_rate,D_rate,F_rate,W_rate,total_enrollment
"Introduction to qualitative and quantitative social research methods. Emphasis on research design, question formulation, sampling techniques, hypothesis testing, data analysis, computer processing and practical research activity.",321,SOCI,"Social Research",2.63,23.00,36.00,26.00,6.00,8.00,5.00,151
"Examines the environment as a social product. Uses the sociological perspective to explain how environmental problems are structurally created. Focuses on mining and forestry to illustrate how environmental degradation, disease, death and disability are produced.",390,SOCI,"Sociology of the Environment",3.03,29.00,51.00,16.00,3.00,2.00,1.00,237
"Analysis of the historical antecedents and contemporary profiles of sociological theory emphasizing major figures and dominant paradigms.",421,SOCI,"Theory I, Foundations of Sociological Theory",3.24,45.00,40.00,10.00,2.00,4.00,3.00,160
"Presents an integrated biopsychosocial approach to human behavior in older people. Addresses changes in demographic patterns and family patterns, which affect older adults today. Includes an overview of social work practice with older people, and the policies and programs that serve them. Examines differences between and among special populations with increased emphasis on race, class, gender and sexual orientation.",350,SOWK,"Social Work with Older People",3.40,57.00,28.00,6.00,2.00,4.00,6.00,58
"Examines child welfare services and current policies in social work for children and their families. Explores the history of child welfare, the role current social problems such as poverty, teen pregnancy, violence, addiction, homelessness, human trafficking and war play in today's changing family. Provides an overview of the range of services available for families and children within the child welfare delivery system, including in-home services, foster care and adoption.",450,SOWK,"Social Work with Families and Children",3.43,55.00,31.00,6.00,2.00,2.00,7.00,312
"Investigates the role of the social work profession within the
mental health delivery system utilizing a generalist social
work approach. Social work and mental health concepts,
policies, research methods and program development examined in social service agencies, community mental health
facilities and institutional accommodations.",470,SOWK,"Social Work in Mental Health",3.56,68.00,28.00,0.00,0.00,4.00,0.00,25
"work approach. Social work and mental health concepts,",482,SOWK,"mental health delivery system utilizing a generalist social",3.36,59.00,20.00,7.00,0.00,7.00,9.00,46
"Explore the unique problems and social needs of non-urban areas, particularly small towns and rural communities. Comprehend the social structure of such communities as well as the challenges of living in such areas, such as lack of, or remoteness of, resources, poverty and the need to seek alternative interventions to work with the client populations.",483,SOWK,"Social Work Practice in Rural Environments",3.50,70.00,13.00,13.00,0.00,3.00,3.00,39
"Study of modern Spanish and Spanish American literature within its cultural context. Students will explore the literary text as cultural document including the roles of Afro-Hispanics, indigenous peoples, religion, women, politics and poverty in the formation of Hispanic cultures.",403,SPAN,"Hispanic Culture Through Literature",3.44,60.00,32.00,7.00,0.00,4.00,0.00,32
"Introduction to theatre as a unified art with emphasis upon the literary and social significance of theatre in our society.",100,THEA,"Theatre Appreciation",3.55,68.00,21.00,6.00,3.00,2.00,4.00,324
"Provides supervised experience in theatre production and performance.",125,THEA,"Theatre Practicum",0.00,0.00,0.00,0.00,0.00,0.00,100.00,4
"Develops voice and body awareness through methods of vocal production, theatre movement and body conditioning, and performance style and analysis.",200,THEA,"Voice and Movement Fundamentals",3.67,67.00,25.00,4.00,0.00,0.00,6.00,92
"Practical survey of techniques in the application of theatrical makeup for performance on stage as well as television and film. Recommended for all performers.",223,THEA,"Makeup Design",3.21,50.00,30.00,11.00,0.00,7.00,4.00,64
"Explores the creative acting process by investigating the emotional, intellectual and kinesthetic resources central to performing. Examines the application of vocal and physical choices to develop characters. Analysis of texts, theory and the conventions of psychological realism are highlighted through focused improvisation, movement exercises and monologue/scene study.",250,THEA,"Acting I",3.47,61.00,28.00,9.00,0.00,2.00,1.00,102
"Surveys the evolution of formal social theatre from ritual origins through the Renaissance. A social history of dramatic theory, plays and playwrights, production practices and performance styles, emphasizing their roles as both product of and mirror to changing values, tastes, attitudes and customs.",300,THEA,"History of the Theatre I",3.48,61.00,31.00,5.00,2.00,3.00,2.00,91
"Intensive study of a selected topic in theatre.",490,THEA,"Seminar in Theatre",3.79,85.00,10.00,3.00,0.00,2.00,2.00,71
"Summarizes the University theatre experience through the active planning and execution of professional materials, including audition monologue and portfolio, leading to a senior showing with exit interview.",499,THEA,"Capstone Seminar",3.55,62.00,33.00,7.00,0.00,0.00,0.00,31
"Discussion of technical tax provisions as they pertain to corporations and partnerships. Review and analysis of corporate tax provisions. Use and completion of IRS forms.",342,ACCT,"Federal Income Tax Accounting: Partnership and Corporation",3.14,43.00,32.00,17.00,6.00,1.00,4.00,115
"Examination of the full range of accounting and reporting policies and procedures for state and local governments as well as for not-for-profit organizations.",415,ACCT,"Governmental and Not-For-Profit Accounting",3.15,36.00,49.00,15.00,0.00,2.00,0.00,54
"A comprehensive survey of the indigenous peoples and traditional cultures of a specific region of the world, focusing on ethnographic and linguistic research.",201,ANTH,"Cultural Anthropology Survey",2.40,27.00,20.00,27.00,12.00,12.00,4.00,52
"Study of beliefs and rituals of people affected by the presence of gods or other supernatural beings. Topics include magic, witchcraft and shamanist practices among aboriginal and traditional societies throughout the world.",215,ANTH,"Religion, Magic and Witchcraft",2.19,12.00,32.00,25.00,9.00,15.00,10.00,169
"Introduction for non-graphic design majors to the principles of graphic design and layout, and to the basic software packages used in graphic design. Designed to help fine arts majors prepare and present images of their artwork in a professional manner, and should be taken in the junior or senior year.",227,ART,"Digital Design and Layout",3.73,73.00,20.00,4.00,0.00,0.00,5.00,118
"Survey of painting, sculpture and architecture in the principal art centers of Italy during the 15th and 16th centuries. Covers the work and influence of several generations of major artists in relation to the larger historical, social and cultural contexts of this era.",310,ART,"History of Italian Renaissance Art",2.91,47.00,21.00,15.00,7.00,10.00,3.00,96
"Upper-level course that covers advanced projects in photography using digital technology. Students should have a basic understanding of photographic composition and of basic computer skills required for digital imaging. A digital camera is required. May be taken for a maximum of eight credits.",359,ART,"Advanced Digital Photography",3.31,54.00,30.00,8.00,0.00,6.00,5.00,92
"Advanced study in one or a combination of studio disciplines or art history. Students furnish their own materials.",390,ART,"Advanced Study in Art",3.51,58.00,12.00,15.00,0.00,0.00,17.00,42
"Review of the history and governance of the athletic training profession. Addresses the body of knowledge and primary responsibilities of the athletic trainer. Basic skills in risk management and injury prevention are emphasized. An overview of the clinical requirements for the athletic training major is provided.",210,ATTR,"Foundations of Athletic Training",3.33,52.00,33.00,9.00,2.00,3.00,5.00,349
"Designed as a culminating experience to prepare students as
professionals in the field of athletic training. Students select a
clinical site, other than Salisbury University, and are exposed
to alternate clinical practice and philosophies of athletic training services. Exposure assists students in developing their
own ideals in the field of athletic training.",479,ATTR,"Athletic Training Practicum",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
"Introduction to the history and literature of biology. Special emphasis on the development of contemporary concepts and techniques of information retrieval.",301,BIOL,"History and Literature of Biology",2.16,13.00,26.00,22.00,26.00,6.00,10.00,55
"Study of the important parasites of humans and domestic animals.",322,BIOL,Parasitology,2.73,18.00,45.00,23.00,8.00,2.00,7.00,110
"Study of gross and microscopic plant structure, with special emphasis on higher plants.",325,BIOL,"Plant Anatomy",2.28,6.00,45.00,23.00,28.00,0.00,0.00,18
"Basic course dealing with the cellular and chemical aspects of immunity. Antigen-antibody reaction surveyed and its clinical laboratory implicationd thoroughly discussed.",333,BIOL,Immunology,2.60,27.00,29.00,27.00,7.00,9.00,5.00,73
"Study of birds. Topics include form and function, systematics, speciation, behavior and communication, reproduction, migration, ecological topics including demography, population dynamics, community structure and conservation. Field trips emphasize identification and natural history of local species.",405,BIOL,Ornithology,3.54,62.00,33.00,7.00,0.00,0.00,0.00,59
"Study of structure, replication and pathogenesis of viruses with emphasis on animal viruses and the role of viruses in our current understanding of cell and molecular biology.",445,BIOL,Virology,2.81,29.00,34.00,27.00,7.00,4.00,4.00,133
"Study of applied aspects of biology with an emphasis on DNA technology. Recommended as a capstone course for biology majors in the cell and molecular biology/biotechnology track.",470,BIOL,Biotechnology,2.56,19.00,28.00,19.00,19.00,0.00,19.00,11
"Intern experience in business or government. May be used as a business concentration/track elective if approved by the school dean.",490,BUAD,"Business Internship",3.89,89.00,12.00,0.00,0.00,0.00,0.00,72
"Provides a supervised and mentored experience practicing conflict resolution in local, regional, national or international organizations. Students are required to design their own practicum experience with the assistance of conflict analysis and dispute resolution faculty in order to best suit their particular interests, career goals and aspirations.",400,CADR,"Practicum and Internship",0.00,0.00,0.00,0.00,0.00,0.00,100.00,1
"Environmental conflict is the major problem facing most civilizations in the 21st century. This course provides a systems approach to the examination of the sources of environmental conflict as well as various ways to reach resolution. The core challenge is to balance basic human needs while effectively protecting, preserving or conserving vital parts of the physical and biological environment. This course presents a number of conflict intervention models and techniques.",403,CADR,"Resolving Environmental Conflict",3.37,54.00,34.00,9.00,1.00,3.00,3.00,224
"Business conflict can not only hurt profits but personal and professional relationships and, if left unchecked, can impact large groups of people outside the business setting. Conflict management techniques and processes are presented so that students will know how to more effectively manage conflict at an interpersonal level before they escalate into a scenario that requires more people to become involved and further drain business resources. Case studies, simulations and role-plays are used to teach conflict resolution skills that serve to prevent and manage conflicts from becoming destructive. Students will also learn how to become more effective negotiators through the use of interest-based tactics and strategies.",404,CADR,"Negotiation and Conflict Management in Business",2.93,27.00,46.00,17.00,6.00,3.00,4.00,197
"Study of the development of chemistry and the impact of chemistry on our world. Chemical principles and concepts are used to understand applications of chemistry to our everyday lives.",107,CHEM,"Chemistry: A Humanistic Perspective",2.63,24.00,33.00,25.00,10.00,5.00,5.00,293
"Study of the theoretical and practical aspects of modern instrumental analysis. Topics include information processing, spectroscopic, chromatographic and electrochemical methods.",333,CHEM,"Instrumental Analysis",2.63,22.00,38.00,25.00,12.00,4.00,2.00,178
"Comprehensive study of the fundamental concepts of physical chemistry.",342,CHEM,"Physical Chemistry II",2.80,30.00,30.00,27.00,10.00,2.00,4.00,187
"Study of the communicative factors involved in the teaching-learning process in classroom and corporate contexts. Emphasis is on the selecting, limiting, organizing and presenting of content that needs to be conveyed from instructor to learner(s). Special focus is given to developing a supportive environment, effective questioning and positive interpersonal relationships.",250,CMAT,"Instrutional Communication",3.66,72.00,21.00,7.00,0.00,0.00,2.00,81
"Explores the relationships among communication, gender and culture. Illuminates the pivotal role of communication in sustaining and altering existing gender and cultural patterns.",304,CMAT,"Communication, Gender and Culture",3.38,50.00,39.00,10.00,0.00,1.00,1.00,116
"Examines theories and concepts that highlight the role of communication in personal and intimate relationships. Additional emphasis is on the role of communication in the life-cycle of a relationship.",305,CMAT,"Relational Communication",3.35,44.00,48.00,9.00,0.00,0.00,0.00,46
"Participation in and analysis of small group discussion. Emphasizes communication within the small group setting and effective group decision making.",310,CMAT,"Small Group Discussion",3.69,73.00,24.00,2.00,0.00,1.00,1.00,121
"Theory and practice of event management and planning. Application, knowledge and understanding of planning and implementation of a variety of professional and non-professional events. Components include budgeting, contracts, liability, technology, aesthetics, marketing and promotion.",318,CMAT,"Event Planning and Communication",3.04,24.00,60.00,14.00,0.00,2.00,2.00,116
"Development of critical viewing skills through analysis of program conventions, genres and media aesthetics, and through intensive writing.",332,CMAT,"Media Criticism and Analysis",3.64,72.00,20.00,3.00,0.00,3.00,4.00,134
"Acquaints the student with the numerous and varied elements contained on the Internet. The course will enhance communication skills, specifically for the networked environments, and will discuss how to reach specific audiences on the net. Instruction includes media writing, page design, site development and learning about hypertext markup language. Integral to the course is evaluating and analyzing Web-based content.",335,CMAT,"Communicating on the Web",2.82,19.00,36.00,26.00,0.00,3.00,17.00,106
"Analyze how certain motion pictures have influenced society during certain phases of the nation's history. Explore how audience responses to this popular medium demonstrate the specific effects these films have upon social issues and modernity, including gender, sexuality and ethnicity. Case studies assist in understanding basic aspects of media studies and their importance.",336,CMAT,"Cinema and Society",3.00,35.00,30.00,22.00,3.00,3.00,9.00,78
"Study of problems facing today's managers in an ever-changing media landscape. Topics include economics, ownership, leadership, conflict management, programming, advertising, community relations and Federal Communications Commission rules and regulations.",338,CMAT,"Mass Media Management",3.47,54.00,40.00,7.00,0.00,0.00,2.00,98
"Focuses on the study and practice of planning and creating advertisements and advertising techniques such as campaign planning, copy writing and media placement. Explores the aesthetic dimensions of advertising expression and cultural dimensions of reading and interpreting advertisements. Overview of how the advertising industry operates, what ad people do, and the effects of advertising on society.",342,CMAT,"Advertising Campaigns",3.47,59.00,35.00,5.00,2.00,1.00,0.00,108
"Provides a solid foundation of theoretical and practical skills needed to tell nonfiction stories for the visual mass media. Produce a wide variety of news packages and documentary shorts.",373,CMAT,"Producing News Packages and Documentary Shorts",2.92,15.00,58.00,22.00,0.00,0.00,8.00,57
"Study of various concepts, theories and/or practices in journalism or public relations. May be repeated under different subtitles.",394,CMAT,"Studies in Journalism/Public Relations",3.40,58.00,26.00,18.00,0.00,0.00,0.00,35
"Investigates documentary styles and techniques while emphasizing the documentary production process. Over the course of a semester, develop a documentary project by turning in the various components (proposal, treatment, rushes, etc.), culminating in a completed 24-30 minute documentary.",433,CMAT,"Documentary Production",3.18,37.00,46.00,11.00,2.00,2.00,4.00,57
"Consideration of the legal and regulatory context of mass communication. Topics include constitutional, first amendment and statutory issues and the study of regulatory agencies and processes.",438,CMAT,"Mass Communication Law",3.19,35.00,50.00,14.00,0.00,1.00,3.00,142
"Course enhancing the understanding of the media-criminal justice relationship as media coverage corresponds with heightened public demand for accountability in law enforcement, corrections, legal and judicial agencies. Study news coverage and entertainment portrayals of institutional and source-reporter interaction in criminal justice agencies, which are developing sophisticated public information and media relations strategies. Evaluate whether the public can be better informed without sacrificing the integrity of media and criminal justice agencies.",440,CMAT,"Media and Criminal Justice",2.67,16.00,42.00,40.00,2.00,2.00,0.00,51
"Focuses on the reporting and dissemination of environmental policy, information and education, environmental reporting and environmental public relations. Also discusses risk and crisis communication management.",444,CMAT,"Enviromental Communication",3.02,18.00,65.00,16.00,0.00,0.00,2.00,57
"Examines public relations cases while developing strategies and scenarios for response.",448,CMAT,"Public Relations Cases and Strategies",2.95,17.00,60.00,21.00,0.00,0.00,4.00,86
"Advanced-level production course designed for experience in writing, designing and producing programs in a television studio environment. Emphasis on program proposals, writing, producing, directing and use of digital technology in production.",456,CMAT,"Advanced Television Studio Production",3.66,81.00,10.00,6.00,2.00,3.00,2.00,86
"Examines innovations in communication techniques and applications. Topics include satellite and terrestrial based technology, conferencing, decision support systems, computer mediated communication and the impact of technology on the communication process and communicators.",465,CMAT,"Communication Technology",3.39,58.00,23.00,7.00,6.00,2.00,7.00,90
"Provides practical experience in the application of theoretical concepts including broadcasting, theatre, journalism, organizational communication, public relations, training, etc. Only four hours may be counted toward the major.",495,CMAT,"Internship in Communication",3.79,86.00,10.00,4.00,0.00,2.00,0.00,91
"Introduces fundamental concepts of computer science, explores the impact of digital technology on society, and discusses the legal and ethical responsibilities of a digital citizen. Topics of study include computer hardware, digital communication, networks, software application usage, software and web page development, as well as the ethical, legal and social issues of computing.",116,COSC,"Introduction to Computer Systems",2.79,28.00,34.00,20.00,8.00,5.00,8.00,186
"Introduction to program design and development. Programs focus on development of applications for science, including applications related to GIS. The object-oriented approach is emphasized throughout. No previous programming experience is required.",118,COSC,"Introductory Scientific Programming",2.65,31.00,24.00,19.00,3.00,13.00,13.00,230
"Introductory course in Web development through the use of XHTML (Extensible Hypertext Markup Language), CSS (Cascading Style Sheets) and Java. Intended for B.A. art majors in visual communications and B.F.A. art majors in graphic design. Labs focus on Web page development through the use of forms, tables, menus, graphics and JavaScript.",119,COSC,"Introduction to Web Development",3.32,52.00,33.00,7.00,5.00,3.00,5.00,98
"Covers three related topics: event-driven programming, graphical user interface (GUI) and object-oriented (OO) design using design patterns. The event-driven model is examined throughout the course. OO design is introduced through the analysis of design patterns. There are several programming projects for this course.",330,COSC,"OO Design Patterns and GUI/Event-Driven Programming",2.76,30.00,26.00,25.00,3.00,8.00,11.00,85
"Theory and practice of data communication between computing devices. Investigates network architectures, wide- and local-area networks, ISO network layers. Emphasis is on the underlying theory and how network design affects network performance. Study of encoding systems, routing control, transport protocols, programming for networks, socket programming and remote procedure calls.",370,COSC,"Computer Networks",3.12,44.00,35.00,15.00,4.00,4.00,2.00,190
"Principles and practice of parallel and distributed computing. Topics include modern computing architectures, concurrency principles and algorithm design, and applications and programming.",420,COSC,"High-Performance Computing",3.37,56.00,26.00,11.00,0.00,4.00,6.00,179
"Study of conventional and object-oriented software engineering principles and methods: the human-computer interface, requirements analysis, prototyping, software design, system models, use of tools, project management, implementation, testing strategies, software metrics, maintenance, quality assurance, ethics and professional responsibility. Use of standards, verification and validation, configuration management, quality assurance and human factors. Student teams will analyze a real-world problem and design, implement, document and test a software system based upon the specified requirements. COSC 426 is a continuation of COSC 425.",426,COSC,"Software Engineering II",3.69,75.00,20.00,5.00,0.00,1.00,1.00,266
"Analysis of the operating system, the program which supervises the activity of the computer. Study of processes, interprocess communication, scheduling, I/O systems, deadlock, file systems, memory management, security/protection mechanisms and resource allocation.",450,COSC,"Operating Systems",2.62,22.00,26.00,45.00,5.00,2.00,3.00,243
"Generate and manipulate graphic information using the computer. Emphasis on the analysis of fundamental problems associated with these activities and on the structured design of solutions.",482,COSC,"Computer Graphics",3.07,41.00,24.00,10.00,0.00,9.00,19.00,72
"Study of the principles, techniques and effects of obtaining and spending funds by governments and the management of governmental debt. Taxes and expenditures of all levels of government in the United States considered.",336,ECON,"Public Sector Economics",2.64,19.00,34.00,32.00,6.00,4.00,8.00,119
"In-depth study of varying economic issues not covered in other economics courses.",338,ECON,"Special Topics in Economics",2.91,32.00,31.00,25.00,3.00,4.00,8.00,114
"Economics-based analysis of causes and consequences of environmental problems and environmental policy and a study of the critical issues in natural resource allocation. Topics include common pool resources, externalities, property rights, exhaustible and renewable resources, privatization and the economics of environmental policy formation.",415,ECON,"Environmental and Natural Resource Economics",2.60,23.00,31.00,21.00,14.00,5.00,9.00,92
"Examines the effects of voluntary and informed transactions on efficient resource allocation and economic welfare. Topics include private property, government regulation, competition and consumer choice.",435,ECON,"The Economics of Voluntary Exchange",3.36,45.00,49.00,5.00,0.00,2.00,2.00,140
"Study of the basic economic concepts and theories for international business, international trade and finance, commercial policy, and foreign investment and multinational firms.",441,ECON,"International Economics",2.46,12.00,33.00,46.00,5.00,4.00,3.00,195
"Survey of African-American short fiction designed to inform students of the history of the sub-genre as well as highlight the canonical literature written in this form.",255,ENGL,"African-American Short Story",3.74,79.00,17.00,1.00,0.00,3.00,3.00,323
"Intensive study of individual American and foreign auteur directors, singly or in groups. Focus on those artists who write their own screenplays and direct their own films. May be repeated twice if different directors are studied.",323,ENGL,"Major Film Directors",3.56,64.00,28.00,6.00,0.00,1.00,2.00,104
"A study of selections from the range of literature that comprises the sub-genre of the African Diaspora. Engages texts in an effort to better understand and interpret the complex nature of chattel slavery, emancipation, reconstruction, colonialism and post-colonialist motivations through reading, discussion and cultural immersion.",378,ENGL,"Literature of the African Diaspora",3.78,83.00,14.00,0.00,0.00,3.00,3.00,46
"Study of Native American, African-American, U.S., Latina and Asian American women's writing, emphasizing 19th and 20th century issues which influenced their writing.",386,ENGL,"American Women Writers of Color",3.40,44.00,44.00,7.00,0.00,0.00,7.00,16
"Study of a director, period, genre, movement or theme in the area of film. May be repeated twice under different subtitles.",401,ENGL,"Studies in Film",3.27,52.00,30.00,12.00,2.00,4.00,3.00,139
"Study of a wide range of films made around the world, with special emphasis on historical development of selected national cinemas, cultural and economic determinants that affect the production of film and the contrasting conventions of film style in contrasting contexts of production.",404,ENGL,"International Cinema",3.39,54.00,35.00,8.00,1.00,2.00,2.00,114
"Read, discuss and analyze contemporary poetry to observe techniques in craftsmanship and present poetry for intensive examination by workshop participants.",416,ENGL,"Poetry Workshop",3.63,73.00,14.00,7.00,0.00,3.00,6.00,132
"Focuses on present-day language theory and practice. Objectives are not only to increase students' skills in writing classroom language tests and assessing standardized instruments intended for second language learners, but also to improve their ability to evaluate language research in which testing plays a part.",428,ENGL,"ESOL Tests and Measurements",3.52,86.00,0.00,4.00,4.00,8.00,0.00,27
"A study of modern English grammar accomplished through a variety of language analysis approaches, including traditional, structural and transformational.",431,ENGL,"Survey of Modern English Grammar",3.06,40.00,35.00,22.00,2.00,4.00,2.00,97
"Introduces students interested in questions of language acquisition to the theories and practices relating to learning to read in a second language or second dialect. Topics included are models for acquiring foreign language reading skills, teaching strategies for second language/dialect literacy, evaluating literacy skills, current research about acquisition of literacy skills, and political and social implications of second language/dialect literacy.",432,ENGL,"Literacy and ESOL Reading",3.52,70.00,24.00,2.00,4.00,4.00,0.00,65
"Introduction to second language acquisition (SLA) theory and the application of SLA theory to second/foreign language teaching practices. Explores what it means to know a language and, hence, how one learns a second language.",439,ENGL,"Second Language Acquisition",3.38,60.00,21.00,14.00,0.00,3.00,3.00,67
"Introduces critical methods for analyzing persuasive messages in a variety of genres and contexts.",464,ENGL,"Rhetorical Criticism",3.50,52.00,40.00,4.00,0.00,0.00,4.00,25
"A study of major British literature during the reign of Queen Victoria. Writers studied may include Tennyson, Browning, Arnold, Carlyle, Newman and Ruskin.",475,ENGL,"Victorian Literature",3.71,76.00,10.00,4.00,4.00,0.00,9.00,61
"A study of major American novels through 1900. Writers studied may include Crane, Hawthorne, Melville and Twain.",484,ENGL,"American Novel I: Beginnings to 1900",3.15,41.00,38.00,15.00,0.00,4.00,4.00,27
"Contemporary trends in U.S. literature from 1970 to the present. Writers may include McCarthy, DeLillo, Shepard, Tyler, Vonnegut, C. Johnson, Albee, Kincaid, Morrison, Walker, Silko.",488,ENGL,"Contemporary Trends in American Literature",3.19,51.00,36.00,6.00,0.00,9.00,0.00,57
"An examination of selected topics of linguistics as they relate directly to first and second language learning. The course may focus in different semesters on such topics as phonology and language learning, syntactic theory and language learning, or discourse and language learning.",491,ENGL,"Topics in Linguistics and Language Learning",3.52,74.00,12.00,6.00,0.00,6.00,3.00,34
"Intensive study in language or film.",494,ENGL,"Topics in English: Writing or Film",3.67,67.00,34.00,0.00,0.00,0.00,0.00,12
"Systems of heavy particles and rigid bodies at rest and in motion. Force acceleration, work energy and impulse momentum relationships. Motion of one body relative to another in a plane and in space.",221,ENGR,Dynamics,2.19,19.00,17.00,36.00,21.00,8.00,2.00,54
"Introduction to the principles of thermodynamics and thermodynamic properties of matter. Topics include the first and second laws of thermodynamics, heat, work, temperature, entropy, enthalpy, cycles, reactions, mixtures, energy balances, and mass balances. A design project related to the material is given.",232,ENGR,Thermodynamics,3.02,32.00,40.00,30.00,0.00,0.00,0.00,41
"Prepares physics and engineering students for subsequent courses requiring computation with MATLAB. Covers the basics of MATLAB, including simple commands, variables, solving equations, graphing differentiation and integration, matrices and vectors, functions, M-files and fundamentals of programming in the MATLAB environment.",306,ENGR,"Introduction to MATLAB",3.57,76.00,4.00,4.00,4.00,4.00,8.00,25
"Interdisciplinary study of environmental issues with content that may vary semester to semester. A selected environmental topic is covered in depth from the perspective of different disciplines. Challenges students to evaluate environmental issues under differing contexts and perspectives.",150,ENVR,"Environmental Perspectives",2.93,31.00,29.00,14.00,6.00,4.00,18.00,137
"Interdisciplinary investigation of the social, cultural and physical aspects of the Chesapeake Bay and its associated human communities. Special attention to the environmental impacts of human actions and decisions in the Chesapeake Bay watershed and the ways in which environmental factors have in turn impacted human communities.",460,ENVR,"Topics in Chesapeake Bay Studies",3.28,43.00,42.00,8.00,1.00,3.00,5.00,212
"Field course taught abroad or in a remote setting within the United States. Particular attention to the interdisciplinary environmental issues associated with a particular location in which the field study occurs from a primarily humanistic or social science perspective. May be taken twice for different field courses.",495,ENVR,"Environmental Field Studies",3.62,71.00,19.00,7.00,0.00,1.00,3.00,202
"Introduces the student to the study and application of contemporary techniques for individual retirement planning. The instruction will include the retirement field as a profession, as well as the personal financial planning process (budgeting, emergency fund planning, credit and debt management) and personal financial statements. Other specific topics covered include: the Social Security system and Medicare, defined benefit plans versus define contribution plans, vesting, tax effects of investing, qualified versus nonqualified plans and tax-advantaged retirement plans (401K, 403b, etc. accounts).",446,FINA,"Retirement Planning",3.10,32.00,45.00,18.00,0.00,2.00,6.00,133
"Examines professional issues in financial planning, including ethical considerations, regulation and certification requirements, written communication skills, and professional responsibility. Utilize skills obtained in other courses and work experiences in the completion of a comprehensive personal finance case, other mini-case studies and calculation templates.",450,FINA,"Case Studies in Personal Financial Planning",3.63,65.00,33.00,3.00,0.00,0.00,0.00,40
"Supervised study in an area of interest to the advanced student.",490,FINA,"Finance Internship",3.28,37.00,52.00,10.00,0.00,0.00,3.00,77
"Intensive review and application of grammar using exercises, compositions, dictation and papers to strengthen proficiency in writing. Continued acquisition of vocabulary and oral skills.",310,FREN,"French Grammar and Composition",3.07,42.00,35.00,11.00,7.00,4.00,4.00,29
"Teaches non-science majors how to critically evaluate contemporary earth science topics of public interest as reported in the media. Learn about the science behind issues, such as terminology, processes, data analysis and underlying assumptions. Differing viewpoints and ethical considerations are discussed.",141,GEOG,"Current Issues in Earth Science",2.87,22.00,52.00,22.00,7.00,0.00,0.00,94
"Training in methods of geographical study and analysis through a range of activities centered around the theme of sport and place. Topics include sport and culture, sport as industry, professional sports location patterns, place identity, market area analysis, sport of urban economic development strategy, politics of stadium location and funding, and (geo)politics of hosting and representation in international sporting events.",262,GEOG,"Geography of Sport",3.10,33.00,47.00,16.00,3.00,2.00,3.00,92
"Examines the physical and societal aspects of severe and hazardous weather in an effort to better knowledge of the atmospheric environment around us. Specific topics include extratropical cyclones, thunderstorms, tornadoes, severe winter weather, hailstorms, lightening and tropical weather systems. Case studies are used to investigate human, economic and environmental consequences of severe and hazardous weather events.",312,GEOG,"Severe and Hazardous Weather",2.82,27.00,38.00,28.00,7.00,2.00,2.00,161
"An integrative look at the co-evolution of resource exploitation, use and conservation, and the changing ideology that drives trends in resource management. Special emphasis on scalar dilemmas in resource management, the effective role of our legal infrastructure in resource management and shifting values regarding the role of human-nature interactions in America.",325,GEOG,"Conservation and Resource Management",2.92,30.00,40.00,18.00,4.00,4.00,6.00,125
"An interdisciplinary course examining critical and descriptive theories to explain city development. Discussions of city evolutions, planning visions, and cultural, political, economic and global factors shaping cities.",408,GEOG,"Seminar in Urban Theory",2.83,25.00,34.00,42.00,0.00,0.00,0.00,12
"Analysis of physical processes and dynamics of the atmosphere. Topics include upper atmospheric flow, forecasting and severe weather.",410,GEOG,Meteorology,2.95,40.00,25.00,29.00,7.00,2.00,0.00,94
"Study of the surface of the earth and the geologic processes that modify it. Topics include the weathering and erosion of rocks, the deposition of sediments, the classification of landforms and the long-term evolution of landscapes. One three-day field-trip is optional.",411,GEOG,Geomorphology,2.84,21.00,43.00,37.00,0.00,0.00,0.00,96
"Study of current theories and development trends in GIS technology. Emphasis on hands-on working knowledge utilizing ARC/INFO software.",419,GEOG,"Advanced Geographic Information Science",3.40,54.00,31.00,11.00,1.00,1.00,4.00,113
"Lab-based course designed to introduce students to the most common methodologies field scientists use to measure, analyze and classify sediments.",211,GEOL,"Sediment Analysis",3.26,41.00,44.00,12.00,1.00,1.00,4.00,153
"Introduces students to the fundamentals of mineralogy and petrology, including crystallography, crystal chemistry and optical mineralogy as well as the occurrence and identification of sedimentary, igneous and metamorphic rocks in thin section. Learn how to use a petrographic microscope to identify minerals and rocks and understand their occurrence in the context of the tectonic setting from which they are derived.",313,GEOL,"Mineralogy and Optical Petrology",3.18,36.00,45.00,18.00,0.00,0.00,3.00,95
"Study of natural hazards, human-induced environmental problems, and the dynamic interaction processes between humans and the environment. Emphasis placed on understanding of major issues in environmental hazards, natural resources (water, mineral and energy), waste disposal, sustainable development and emergency management.",405,GEOL,"Environmental Geology",3.34,44.00,52.00,3.00,0.00,3.00,0.00,82
"Continued skill development in spoken and written German with further study of major structures.",102,GERM,"Elementary German II",3.14,44.00,31.00,19.00,4.00,2.00,4.00,86
"xamines gender and sexual orientation issues and questions from a contemporary perspective, including psychology, education, philosophy, history, English, sociology, political science and art. Readings, lectures and discussion provide a theoretical framework for capstone projects in spring semester. Produce an independent research project on a topic of one's choosing relevant to gender and sexuality studies.",485,GSST,"Gender and Sexuality Studies Capstone Seminar",3.61,74.00,14.00,14.00,0.00,0.00,0.00,23
